pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,surveillanceMessage
757656,SG,nse_cm,,713TS55,713TS55-SG,,713TS55-SG,IN4520250221,,,,SDL TS 7.13% 2055,,,1,100,-1,-1,2,-1,NSE,,,1436659200,,1436659200,0,0,0,0,0,95.00-105.00,0,0,1451493502,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000,
22463,EQ,nse_cm,,EPACK,EPACK-EQ,,EPACK,INE0G5901015,,,,EPACK DURABLE LIMITED,,,5,1,-1,-1,2,-1,NSE,,,1391040000,,1391040000,0,0,1409529600,1410048000,0,220.40-330.50,0,0,1451500019,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,362949.00,1,0,33050,22040,1,1,1,0,0,1,0,9.59677e+07,0,0,362949,High low price variation was greater than 150% in previous 12 months
758748,EQ,nse_cm,,MEIL,MEIL-EQ,,MEIL,INE0PKD01011,,,,MANGAL ELECTRICAL IND L,,,5,1,-1,-1,2,-1,NSE,,,1440806400,,1440806400,0,0,0,0,0,294.25-441.35,0,0,1451500020,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,271880.00,1,0,44135,29425,1,1,1,0,0,1,0,2.76301e+07,0,0,271880,
30078,SG,nse_cm,,724AR45,724AR45-SG,,724AR45-SG,IN1120240032,,,,SDL AR 7.24% 2045,,,1,100,-1,-1,2,-1,NSE,,,1426636800,,1426636800,0,0,0,0,0,95.00-105.00,0,0,1451493500,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,703049.00,100,0,10500,9500,1,1,1,0,0,1,0,2.15e+07,0,0,703049,
11884,EQ,nse_cm,,MANINDS,MANINDS-EQ,,MANINDS,INE993A01026,,,,MAN INDUSTRIES (I) LTD.,,,5,1,-1,-1,2,-1,NSE,,,804038400,,804038400,0,0,1411257600,1411862400,0,308.90-463.30,0,0,1451500018,,,,,,,,,,CASH,,,,,500,,,,0,20,,0.0000,T+1,315513000,0,1,258933.00,1,0,46330,30890,1,1,1,0,0,1,0,7.50096e+07,0,0,258933,
21096,SM,nse_cm,,SAIFL,SAIFL-SM,,SAIFL-SM,INE0PZA01015,,,,SAMEERA AGRO AND INFRA L,,,5,4000,-1,-1,2,-1,NSE,,,1388534400,,1388534400,0,0,0,0,1434067200,12.40-13.70,0,0,1451499059,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,881258.00,4000,0,1370,1240,1,1,1,0,0,1,0,2.69498e+07,0,0,881258,"Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100,The scrip is not regularly traded, and exit may be difficult,High low price variation was greater than 75% in previous 3 months,High low price variation was greater than 100% in previous 6 months,High low price variation was greater than 200% in previous 365 days"
20926,SG,nse_cm,,74GJ26,74GJ26-SG,,74GJ26-SG,IN1520230146,,,,SDL GJ 7.4% 2026,,,1,100,-1,-1,2,-1,NSE,,,1388275200,,1388275200,0,0,0,0,0,97.14-107.36,0,0,1451493498,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,977900.00,100,0,10736,9714,1,1,1,0,0,1,0,1e+08,0,0,977900,
5220,EQ,nse_cm,,BFSI,BFSI-EQ,,BFSI,INF769K01HI8,,,,MIRAEAMC - MAFSETF,,,1,1,-1,-1,2,-1,NSE,,,1312588800,,1312588800,0,0,0,0,0,22.68-34.02,0,0,1451500017,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,3527330.00,1,0,3402,2268,1,1,1,0,0,1,0,1.56589e+08,0,0,3527330,
8424,EQ,nse_cm,,VIPULLTD,VIPULLTD-EQ,,VIPULLTD,INE946H01037,,,,VIPUL LIMITED,,,1,1,-1,-1,2,-1,NSE,,,1114214400,,1114214400,0,0,1410912000,1411516800,0,10.85-13.25,0,0,1451499059,,,,,,,,,,CASH,,,,,100,,,,0,20,,0.0000,T+1,315513000,0,1,4609375.00,1,0,1325,1085,1,1,1,0,0,1,0,1.40959e+08,0,0,4609375,"Stage 1 Long Term ASM scrip,EPS based on previous 4 trailing quarters in the scrip is zero"
1213,BL,nse_cm,,PRAXIS,PRAXIS-BL,,PRAXIS-BL,INE546Y01022,,,,PRAXIS HOME RETAIL LTD,,,1,1,-1,-1,2,-1,NSE,,,1201824000,,1201824000,0,0,0,0,1426896000,8.88-9.42,0,0,1451498909,,,,,,,,,,CASH,,,,,500,,,,0,20,,0.0000,T+1,315513000,0,1,6046579.00,1,0,942,888,1,1,1,0,0,1,0,1.84911e+08,0,0,6046579,
29138,BL,nse_cm,,INDUSTOWER,INDUSTOWER-BL,,INDUSTOWER-BL,INE121J01017,,,,INDUS TOWERS LIMITED,,,5,1,-1,-1,2,-1,NSE,,,1041120000,,1041120000,0,0,0,0,1407628800,409.60-434.90,0,0,1451498942,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,237434.00,1,0,43490,40960,1,1,1,0,0,1,0,2.63816e+09,0,0,237434,
12061,BL,nse_cm,,AUSOMENT,AUSOMENT-BL,,AUSOMENT-BL,INE218C01016,,,,AUSOM ENTERPRISE LIMITED,,,1,1,-1,-1,2,-1,NSE,,,816220800,,816220800,0,0,0,0,1442707200,107.13-113.75,0,0,1451498914,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,445490.00,1,0,11375,10713,1,1,1,0,0,1,0,1.36236e+07,0,0,445490,
13816,EQ,nse_cm,,LTFOODS,LTFOODS-EQ,,LTFOODS,INE818H01020,,,,LT FOODS LIMITED,,,5,1,-1,-1,2,-1,NSE,,,850867200,,850867200,0,0,0,0,1442707200,313.75-470.55,0,0,1451500018,,,,,,,,,,CASH,,,,,100,,,,0,20,,0.0000,T+1,315513000,0,1,254883.00,1,0,47055,31375,1,1,1,0,0,1,0,3.47253e+08,0,0,254883,
14677,EQ,nse_cm,,GUJAPOLLO,GUJAPOLLO-EQ,,GUJAPOLLO,INE826C01016,,,,GUJ. APOLLO IND. LTD.,,,5,1,-1,-1,2,-1,NSE,,,865382400,,865382400,0,0,0,0,1443052800,322.45-483.65,0,0,1451500018,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,248106.00,1,0,48365,32245,1,1,1,0,0,1,0,1.18e+07,0,0,248106,EPS based on previous 4 trailing quarters in the scrip is zero
22678,BL,nse_cm,,CAPITALSFB,CAPITALSFB-BL,,CAPITALSFB-BL,INE646H01017,,,,CAPITAL SMALL FIN BANK L,,,5,1,-1,-1,2,-1,NSE,,,1392336000,,1392336000,0,0,0,0,1437868800,253.85-269.55,0,0,1451498938,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,377958.00,1,0,26955,25385,1,1,1,0,0,1,0,4.52862e+07,0,0,377958,
14113,SG,nse_cm,,756RJ48,756RJ48-SG,,756RJ48-SG,IN2920220281,,,,SDL RJ 7.56% 2048,,,1,100,-1,-1,2,-1,NSE,,,1360454400,,1360454400,0,0,0,0,0,95.00-105.00,0,0,1451493496,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000,
22241,BL,nse_cm,,EBBETF0431,EBBETF0431-BL,,EBBETF0431-BL,INF754K01LE1,,,,EDELAMC - EBBETF0431,,,1,1,-1,-1,2,-1,NSE,,,1280361600,,1280361600,0,0,0,0,0,1353.23-1436.93,0,0,1451498938,,,,,,,,,,CASH,,,,,100000,,,,0,20,,0.0000,T+1,315513000,0,1,71598.00,1,0,143693,135323,1,1,1,0,0,1,0,9.58487e+07,0,0,71598,
27094,N0,nse_cm,,776FEDB34,776FEDB34-N0,,776FEDB34-N0,INE171A08057,,,,FEDB 7.76% 2034 SR 1,,,1,1,-1,-1,2,-1,NSE,,,1416009600,,1416009600,0,0,0,0,1446076800,80000.00-120000.00,0,0,1451493499,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,315513000,0,1,999.00,1,0,1.2e+07,8e+06,1,1,1,0,0,1,0,150000,0,0,999,
